"band","event_date","species_name","age_description","sex_description"
"B11954441344","1/25/96","Loggerhead Kingbird","After Hatching Year","Unknown"
"B11954441361","1/29/96","Loggerhead Kingbird","After Hatching Year","Unknown"
"B11954441424","1/24/96","Loggerhead Kingbird","After Hatching Year","Unknown"
"B11954441441","12/27/95","Loggerhead Kingbird","Unknown","Unknown"
"B11954441501","12/25/95","Loggerhead Kingbird","Unknown","Unknown"
"B11954441581","12/26/95","Loggerhead Kingbird","Unknown","Unknown"
"B11954441669","11/22/96","Loggerhead Kingbird","Hatching Year","Unknown"
"B11954441824","2/18/96","Loggerhead Kingbird","After Hatching Year","Unknown"
"B11954443043","12/7/95","Loggerhead Kingbird","Unknown","Unknown"
"B11954443444","11/21/95","Loggerhead Kingbird","Unknown","Unknown"
"B11954443603","12/21/95","Loggerhead Kingbird","Unknown","Unknown"
"B11954443924","12/8/95","Loggerhead Kingbird","Hatching Year","Unknown"
"B11954444004","2/18/96","Loggerhead Kingbird","After Hatching Year","Unknown"
"B11954444084","2/18/96","Loggerhead Kingbird","After Hatching Year","Unknown"
"B11954444164","2/14/96","Loggerhead Kingbird","Second Year","Unknown"
"B11954444564","1/25/96","Loggerhead Kingbird","After Hatching Year","Unknown"
"B11954444801","12/4/96","Loggerhead Kingbird","After Hatching Year","Unknown"
"B11954444965","12/3/96","Loggerhead Kingbird","After Hatching Year","Unknown"
"B11954445044","12/16/95","Loggerhead Kingbird","Unknown","Unknown"
"B11954445204","12/9/95","Loggerhead Kingbird","Unknown","Unknown"
"B11954445604","12/27/95","Loggerhead Kingbird","Hatching Year","Unknown"
"B11954445684","12/27/95","Loggerhead Kingbird","Hatching Year","Unknown"
"B11954445764","12/25/95","Loggerhead Kingbird","Unknown","Unknown"
"B11954445845","12/20/95","Loggerhead Kingbird","Unknown","Unknown"
"B11954448004","2/9/97","Loggerhead Kingbird","Second Year","Unknown"
"B11954448158","1/25/97","Loggerhead Kingbird","Second Year","Unknown"
"B11954448249","1/23/97","Loggerhead Kingbird","After Second Year","Unknown"
"B11954448404","12/24/96","Loggerhead Kingbird","After Hatching Year","Unknown"
"B11954448564","12/20/96","Loggerhead Kingbird","After Hatching Year","Unknown"
"B11954448964","2/14/97","Loggerhead Kingbird","Second Year","Unknown"
"B11954449044","12/10/96","Loggerhead Kingbird","After Hatching Year","Unknown"
"B11954449281","12/5/96","Loggerhead Kingbird","Unknown","Unknown"
"B11954449369","11/30/96","Loggerhead Kingbird","Hatching Year","Unknown"
"B11954449684","12/19/96","Loggerhead Kingbird","Hatching Year","Unknown"
"B11954449769","12/19/96","Loggerhead Kingbird","Hatching Year","Unknown"
"B11954449929","12/14/96","Loggerhead Kingbird","Hatching Year","Unknown"
"B09481980704","11/23/65","Great Kiskadee","After Hatching Year","Unknown"
"B09483116071","10/8/77","Red-eyed Vireo","Hatching Year","Unknown"
"B09483117033","4/10/77","Black-whiskered Vireo","After Hatching Year","Unknown"
"B09483930383","11/6/66","Red-eyed Vireo","Unknown","Unknown"
"B09483930624","11/9/66","Red-eyed Vireo","Unknown","Unknown"
"B09483932072","10/25/65","Eastern Wood-Pewee","Unknown","Unknown"
"B09483934073","1/6/66","Gray-breasted Martin","Unknown","Unknown"
"B09483940303","10/22/66","Red-eyed Vireo","Unknown","Unknown"
"B09483940389","10/29/66","Red-eyed Vireo","Unknown","Unknown"
"B09483940464","10/22/66","Red-eyed Vireo","Unknown","Unknown"
"B09483940540","10/20/66","Red-eyed Vireo","Unknown","Unknown"
"B09483940704","11/5/66","Yellow-green Vireo","Unknown","Unknown"
"B09483942074","10/15/66","Red-eyed Vireo","Unknown","Unknown"
"B09483943033","1/6/66","Gray-breasted Martin","Unknown","Unknown"
"B09483945039","1/6/66","Gray-breasted Martin","Unknown","Unknown"
"B09483965036","3/11/65","Northern Rough-winged Swallow","After Hatching Year","Unknown"
"B11954751027","9/26/93","Great Kiskadee","After Hatching Year","Unknown"
"B11954751504","4/10/93","Tropical Kingbird","After Hatching Year","Unknown"
"B11954751525","4/9/93","Tropical Kingbird","After Hatching Year","Unknown"
"B11954751587","4/14/93","Tropical Kingbird","After Hatching Year","Unknown"
"B11954755205","11/13/92","Great Kiskadee","Unknown","Unknown"
"B11954755284","11/13/92","Great Kiskadee","Unknown","Unknown"
"B11954755927","11/17/92","Great Kiskadee","Unknown","Unknown"
"B11954815049","2/14/97","Loggerhead Kingbird","Second Year","Unknown"
"B11954815171","2/14/97","Loggerhead Kingbird","After Second Year","Unknown"
"B11954815498","1/23/97","Loggerhead Kingbird","Second Year","Unknown"
"B11954815521","12/20/96","Loggerhead Kingbird","Unknown","Unknown"
"B11954815571","12/24/96","Loggerhead Kingbird","After Hatching Year","Unknown"
"B11954815731","1/17/98","Loggerhead Kingbird","Second Year","Unknown"
"B11954893449","2/1/04","Loggerhead Kingbird","Second Year","Unknown"
"B09493409659","4/17/65","Black-whiskered Vireo","After Hatching Year","Unknown"
"B11974254002","2/5/03","Loggerhead Shrike","After Hatching Year","Unknown"
"B11974254085","2/6/03","Loggerhead Shrike","After Hatching Year","Unknown"
"B11974254155","1/30/03","Loggerhead Shrike","After Hatching Year","Unknown"
"B11974254164","2/1/03","Loggerhead Shrike","After Hatching Year","Unknown"
"B11974254241","1/30/03","Loggerhead Shrike","After Hatching Year","Unknown"
"B11974254329","1/29/03","Loggerhead Shrike","After Hatching Year","Unknown"
"B11974254407","1/24/03","Loggerhead Shrike","After Hatching Year","Unknown"
"B11974254484","1/25/03","Loggerhead Shrike","After Hatching Year","Unknown"
"B11974254562","1/23/03","Loggerhead Shrike","After Hatching Year","Unknown"
"B11974254645","2/12/03","Loggerhead Shrike","After Hatching Year","Unknown"
"B11974254724","2/10/03","Loggerhead Shrike","After Hatching Year","Unknown"
"B11974254801","2/8/03","Loggerhead Shrike","After Hatching Year","Unknown"
"B11974254889","2/8/03","Loggerhead Shrike","After Hatching Year","Unknown"
"B11974254967","2/7/03","Loggerhead Shrike","After Hatching Year","Unknown"
"B11974255527","1/30/98","Loggerhead Shrike","After Hatching Year","Unknown"
"B11974255682","2/5/04","Loggerhead Shrike","After Second Year","Unknown"
"B11974438647","1/14/02","Great Crested Flycatcher","After Hatching Year","Unknown"
"B11974466009","2/18/04","Loggerhead Shrike","After Second Year","Unknown"
"B11974466087","2/20/04","Loggerhead Shrike","Second Year","Unknown"
"B11974466157","2/14/04","Loggerhead Shrike","After Second Year","Unknown"
"B11974466164","2/17/04","Loggerhead Shrike","Second Year","Unknown"
"B11974466647","3/2/04","Loggerhead Shrike","After Second Year","Unknown"
"B11974466724","2/28/04","Loggerhead Shrike","Second Year","Unknown"
"B11974466886","2/26/04","Loggerhead Shrike","After Second Year","Unknown"
"B11974466966","2/23/04","Loggerhead Shrike","After Second Year","Unknown"
"B11974551025","2/19/03","Loggerhead Shrike","After Hatching Year","Unknown"
"B11974551041","2/19/03","Loggerhead Shrike","After Hatching Year","Unknown"
"B11974551101","2/18/03","Loggerhead Shrike","After Hatching Year","Unknown"
"B11974551111","2/18/03","Loggerhead Shrike","After Hatching Year","Unknown"
"B11974551129","2/17/03","Loggerhead Shrike","After Hatching Year","Unknown"
"B11974551181","2/18/03","Loggerhead Shrike","After Hatching Year","Unknown"
"B11974551199","2/18/03","Loggerhead Shrike","After Hatching Year","Unknown"
"B11974551207","2/15/03","Loggerhead Shrike","After Hatching Year","Unknown"
"B11974551269","2/17/03","Loggerhead Shrike","After Hatching Year","Unknown"
"B11974551284","2/17/03","Loggerhead Shrike","After Hatching Year","Unknown"
"B11974551347","2/14/03","Loggerhead Shrike","After Hatching Year","Unknown"
"B11974551365","2/15/03","Loggerhead Shrike","After Hatching Year","Unknown"
"B11974551424","2/14/03","Loggerhead Shrike","After Hatching Year","Unknown"
"B11974551445","2/14/03","Loggerhead Shrike","After Hatching Year","Unknown"
"B11974551505","2/14/03","Loggerhead Shrike","After Hatching Year","Unknown"
"B11974551521","2/14/03","Loggerhead Shrike","After Hatching Year","Unknown"
"B11974551585","2/14/03","Loggerhead Shrike","After Hatching Year","Unknown"
"B11974551907","2/20/03","Loggerhead Shrike","After Hatching Year","Unknown"
"B11974551925","2/20/03","Loggerhead Shrike","After Hatching Year","Unknown"
"B11974552327","2/19/03","Loggerhead Shrike","After Hatching Year","Unknown"
"B11974552404","2/18/03","Loggerhead Shrike","After Hatching Year","Unknown"
"B11974552485","2/18/03","Loggerhead Shrike","After Hatching Year","Unknown"
"B11974552565","2/17/03","Loggerhead Shrike","After Hatching Year","Unknown"
"B11974552642","2/10/04","Loggerhead Shrike","Second Year","Unknown"
"B11974552721","2/6/04","Loggerhead Shrike","After Second Year","Unknown"
"B11974552809","2/4/04","Loggerhead Shrike","After Second Year","Unknown"
"B11974552887","2/5/04","Loggerhead Shrike","After Second Year","Unknown"
"B11974552964","2/3/04","Loggerhead Shrike","After Second Year","Unknown"
"B11974553045","3/1/04","Loggerhead Shrike","Second Year","Unknown"
"B11974553115","2/27/04","Loggerhead Shrike","Second Year","Unknown"
"B11974553125","2/27/04","Loggerhead Shrike","Second Year","Unknown"
"B11974553195","2/28/04","Loggerhead Shrike","Second Year","Unknown"
"B11974553203","2/25/04","Loggerhead Shrike","After Second Year","Unknown"
"B11974553281","2/25/04","Loggerhead Shrike","Second Year","Unknown"
"B11974553369","2/22/04","Loggerhead Shrike","After Hatching Year","Unknown"
"B11974553447","2/18/04","Loggerhead Shrike","Second Year","Unknown"
"B11974553524","2/16/04","Loggerhead Shrike","After Second Year","Unknown"
"B11974558645","2/5/04","Loggerhead Shrike","After Second Year","Unknown"
"B11974558808","2/14/04","Loggerhead Shrike","After Second Year","Unknown"
"B11974558881","2/14/04","Loggerhead Shrike","Second Year","Unknown"
"B11974558969","2/5/04","Loggerhead Shrike","After Second Year","Unknown"
"B11974875048","3/8/00","Loggerhead Kingbird","After Hatching Year","Unknown"
"B11974875127","3/3/00","Loggerhead Kingbird","After Hatching Year","Unknown"
"B11974875197","3/4/00","Loggerhead Kingbird","After Hatching Year","Unknown"
"B11974875205","3/2/00","Loggerhead Kingbird","After Hatching Year","Unknown"
"B11974875281","3/3/00","Loggerhead Kingbird","After Hatching Year","Unknown"
"B11974875841","11/12/00","Loggerhead Kingbird","Unknown","Unknown"
"B11974875929","11/10/00","Loggerhead Kingbird","Unknown","Unknown"
"B11974912081","4/21/17","Great Crested Flycatcher","After Second Year","Unknown"
"B11974912162","4/21/17","Great Crested Flycatcher","After Second Year","Unknown"
"B11974918699","4/30/19","Great Crested Flycatcher","Second Year","Unknown"
"B11984371103","10/20/95","Great Crested Flycatcher","Hatching Year","Unknown"
"B11984371121","10/20/95","Great Crested Flycatcher","After Hatching Year","Unknown"
"B11984371201","10/17/95","Great Crested Flycatcher","Hatching Year","Unknown"
"B11984371261","10/18/95","Great Crested Flycatcher","After Hatching Year","Unknown"
"B11984371289","10/18/95","Great Crested Flycatcher","Hatching Year","Unknown"
"B11984371368","10/15/95","Great Crested Flycatcher","After Hatching Year","Unknown"
"B11984371444","10/5/95","Great Crested Flycatcher","After Hatching Year","Unknown"
"B11984371747","10/19/96","Great Crested Flycatcher","Hatching Year","Unknown"
"B11984371821","10/11/96","Great Crested Flycatcher","Hatching Year","Unknown"
"B11984371849","10/11/96","Great Crested Flycatcher","Hatching Year","Unknown"
"B11994407360","11/9/97","Great Crested Flycatcher","After Hatching Year","Unknown"
"B09071511031","12/7/09","Great Kiskadee","Hatching Year","Unknown"
"B09071511059","12/7/09","Great Kiskadee","Hatching Year","Unknown"
"B09071511217","11/17/09","Great Kiskadee","After Hatching Year","Unknown"
"B09071511851","1/18/10","Great Kiskadee","After Second Year","Unknown"
"B09623553039","6/21/61","Yellow-green Vireo","After Hatching Year","Male"
"B09624494074","3/19/64","Brown-crested Flycatcher","After Hatching Year","Unknown"
"B09624833033","3/28/79","Scissor-tailed Flycatcher","After Hatching Year","Male"
"B09643850946","10/13/60","Red-eyed Vireo","Hatching Year","Unknown"
"B09643916079","10/19/65","Eastern Wood-Pewee","After Hatching Year","Unknown"
"B09704370629","6/20/66","Black-whiskered Vireo","After Hatching Year","Unknown"
"B09704370663","7/19/66","Black-whiskered Vireo","Unknown","Unknown"
"B09704370707","6/6/66","Black-whiskered Vireo","After Hatching Year","Unknown"
"B09704370747","5/20/66","Black-whiskered Vireo","After Hatching Year","Unknown"
"B09704370780","6/6/66","Black-whiskered Vireo","After Hatching Year","Unknown"
"B09704370820","4/26/66","Black-whiskered Vireo","After Hatching Year","Unknown"
"B09704950464","4/12/72","Ash-throated Flycatcher","After Hatching Year","Unknown"
"B09073783773","10/21/85","Philadelphia Vireo","After Hatching Year","Unknown"
"B09073784417","10/27/84","Western Wood-Pewee","Hatching Year","Unknown"
"B09764215037","3/7/65","Great Crested Flycatcher","After Hatching Year","Unknown"
"B18223100040","9/27/86","Traill's Flycatcher","Hatching Year","Unknown"
"B18223100152","9/18/86","Western Wood-Pewee","Hatching Year","Female"
"B18223100208","9/15/86","Traill's Flycatcher","After Hatching Year","Male"
"B18223100521","8/30/86","Traill's Flycatcher","After Hatching Year","Male"
"B18223100600","10/6/86","Traill's Flycatcher","Hatching Year","Female"
"B18223101241","11/21/85","Barn Swallow","After Hatching Year","Unknown"
"B18223101328","11/20/85","Philadelphia Vireo","After Hatching Year","Unknown"
"B18223101563","11/16/85","Western Wood-Pewee","After Hatching Year","Unknown"
"B18223101641","3/24/86","Northern Rough-winged Swallow","After Hatching Year","Female"
"B18223101661","3/24/86","Northern Rough-winged Swallow","After Hatching Year","Female"
"B18223101748","3/24/86","Barn Swallow","After Hatching Year","Female"
"B18223101801","3/24/86","Barn Swallow","After Hatching Year","Female"
"B18223101822","3/24/86","Barn Swallow","After Hatching Year","Male"
"B18223101888","3/24/86","Barn Swallow","After Hatching Year","Female"
"B18223102123","11/7/85","Traill's Flycatcher","Hatching Year","Unknown"
"B18223102362","11/6/85","Eastern Wood-Pewee","Hatching Year","Unknown"
"B18223102522","10/30/85","Western Wood-Pewee","Hatching Year","Unknown"
"B18223102922","11/9/85","Barn Swallow","Hatching Year","Unknown"
"B18223103082","10/23/85","Eastern Wood-Pewee","Hatching Year","Unknown"
"B18223103190","10/21/85","Traill's Flycatcher","Hatching Year","Female"
"B18223103243","10/20/85","Traill's Flycatcher","Hatching Year","Female"
"B18223103321","10/20/85","Traill's Flycatcher","After Hatching Year","Unknown"
"B18223103400","10/20/85","Traill's Flycatcher","Hatching Year","Female"
"B18223103568","10/19/85","Traill's Flycatcher","Hatching Year","Male"
"B18223103722","10/24/85","Eastern Wood-Pewee","Hatching Year","Unknown"
"B18223103881","10/24/85","Philadelphia Vireo","Hatching Year","Unknown"
"B18223104044","10/17/85","Traill's Flycatcher","Hatching Year","Male"
"B18223104128","10/17/85","Traill's Flycatcher","Hatching Year","Female"
"B18223104202","10/15/85","Traill's Flycatcher","After Hatching Year","Female"
"B18223104441","9/25/85","Traill's Flycatcher","After Hatching Year","Unknown"
"B18223104604","10/18/85","Bank Swallow","Hatching Year","Unknown"
"B18223104688","10/18/85","Bank Swallow","Hatching Year","Unknown"
"B18223104762","10/18/85","Barn Swallow","Hatching Year","Unknown"
"B18223104842","10/18/85","Barn Swallow","Hatching Year","Unknown"
"B18223105001","9/21/85","Traill's Flycatcher","Hatching Year","Unknown"
"B18223105080","9/21/85","Traill's Flycatcher","After Hatching Year","Male"
"B18223105165","9/21/85","Bank Swallow","After Hatching Year","Unknown"
"B18223105192","9/21/85","Barn Swallow","Hatching Year","Unknown"
"B18223105248","9/20/85","Bank Swallow","Hatching Year","Unknown"
"B18223105322","9/20/85","Bank Swallow","Hatching Year","Unknown"
"B18223105402","9/20/85","Bank Swallow","After Hatching Year","Unknown"
"B18223105483","9/20/85","Bank Swallow","After Hatching Year","Unknown"
"B18223105561","9/20/85","Cliff Swallow","After Hatching Year","Unknown"
"B18223105640","9/22/85","Traill's Flycatcher","After Hatching Year","Male"
"B18223105725","9/22/85","Traill's Flycatcher","After Hatching Year","Male"
"B18223105808","9/22/85","Traill's Flycatcher","After Hatching Year","Female"
"B18223105882","9/22/85","Traill's Flycatcher","After Hatching Year","Male"
"B18223105962","9/22/85","Traill's Flycatcher","Hatching Year","Female"
"B18223107197","1/25/87","Yellow-bellied Flycatcher","After Hatching Year","Unknown"
"B18223107642","9/23/87","Traill's Flycatcher","Hatching Year","Unknown"
"B18223108048","11/6/86","Traill's Flycatcher","Hatching Year","Unknown"
"B18223109168","10/19/86","Eastern Wood-Pewee","Hatching Year","Male"
"B18223109242","10/12/86","Traill's Flycatcher","Hatching Year","Female"
"B18223109322","10/12/86","Traill's Flycatcher","Hatching Year","Male"
"B18223109403","10/12/86","Traill's Flycatcher","After Hatching Year","Unknown"
"B18223109481","10/12/86","Traill's Flycatcher","Hatching Year","Unknown"
"B18223109560","10/9/86","Traill's Flycatcher","Hatching Year","Female"
"B18223109649","10/26/86","Traill's Flycatcher","Hatching Year","Male"
"B16433531026","2/20/03","Least Flycatcher","Second Year","Unknown"
"B16433531263","2/19/03","Least Flycatcher","After Second Year","Unknown"
"B16433531345","2/14/03","Least Flycatcher","After Hatching Year","Unknown"
"B16433531905","2/24/03","Least Flycatcher","After Second Year","Unknown"
"B16433951909","1/24/96","Cuban Pewee","After Hatching Year","Unknown"
"B16433981904","12/25/95","Cuban Pewee","Unknown","Unknown"
"B16433991583","12/9/96","Cuban Pewee","Unknown","Unknown"
"B16433991669","12/14/96","Cuban Pewee","Unknown","Unknown"
"B16433992159","11/28/96","Cuban Pewee","Unknown","Unknown"
"B16443013576","3/5/99","Least Flycatcher","After Hatching Year","Unknown"
"B16443015651","1/22/96","Philadelphia Vireo","After Hatching Year","Unknown"
"B16443015974","1/15/96","Yellow-bellied Flycatcher","After Hatching Year","Unknown"
"B16443440156","1/27/10","Yellow-bellied Flycatcher","After Hatching Year","Unknown"
"B16443563115","11/8/08","Least Flycatcher","Hatching Year","Unknown"
"B16443563196","11/9/08","Least Flycatcher","Hatching Year","Unknown"
"B16814289111","5/17/02","Warbling Vireo","After Hatching Year","Unknown"
"B16814289148","5/17/02","Warbling Vireo","Second Year","Unknown"
"B16814289194","5/21/02","Warbling Vireo","Second Year","Unknown"
"B16814289229","5/14/02","Warbling Vireo","After Second Year","Unknown"
"B16814289306","5/6/02","Warbling Vireo","After Hatching Year","Unknown"
"B16814289388","5/6/02","Warbling Vireo","After Hatching Year","Unknown"
"B16814289461","5/1/02","Warbling Vireo","After Second Year","Unknown"
"B16814289544","4/3/02","Plumbeous Vireo","After Second Year","Unknown"
"B16814289622","5/19/03","Traill's Flycatcher","Second Year","Unknown"
"B16814289708","5/19/03","Traill's Flycatcher","After Second Year","Unknown"
"B16814289789","5/19/03","Traill's Flycatcher","Second Year","Unknown"
"B16814293542","11/17/04","Red-eyed Vireo","Hatching Year","Unknown"
"B16814421186","2/29/00","Yellow-throated Vireo","After Second Year","Unknown"
"B16814421424","2/15/99","White-eyed Vireo","After Hatching Year","Unknown"
"B16814422026","3/19/04","Red-eyed Vireo","After Second Year","Unknown"
"B16814429229","2/9/00","White-eyed Vireo","After Second Year","Unknown"
"B18233010210","4/4/92","Thick-billed Vireo","After Hatching Year","Unknown"
"B18233010291","4/4/92","Thick-billed Vireo","After Hatching Year","Unknown"
"B18233010770","4/7/92","Thick-billed Vireo","After Hatching Year","Unknown"
"B18233374157","1/6/91","White-eyed Vireo","After Hatching Year","Unknown"
"B16834194209","11/29/96","Thick-billed Vireo","Hatching Year","Unknown"
"B16834226158","11/24/96","Solitary Vireo","After Hatching Year","Unknown"
"B16834537114","9/27/01","Red-eyed Vireo","After Hatching Year","Unknown"
"B16834537195","9/27/01","Red-eyed Vireo","After Hatching Year","Unknown"
"B16834545114","9/10/02","Red-eyed Vireo","Hatching Year","Unknown"
"B16834545195","9/10/02","Red-eyed Vireo","After Hatching Year","Unknown"
"B16834824156","2/1/96","Yellow-throated Vireo","After Hatching Year","Unknown"
"B18244316613","3/15/07","Dusky-capped Flycatcher","After Hatching Year","Unknown"
"B19011761509","1/21/92","Great Kiskadee","After Hatching Year","Unknown"
"B19011761547","1/21/92","Great Kiskadee","After Hatching Year","Unknown"
"B19011761871","2/23/92","Great Kiskadee","After Hatching Year","Unknown"
"B19011763157","1/21/92","Great Kiskadee","After Hatching Year","Unknown"
"B19011763469","1/20/88","Great Kiskadee","After Hatching Year","Unknown"
"B19011763470","1/20/88","Great Kiskadee","After Hatching Year","Unknown"
"B19011764191","3/3/90","Great Kiskadee","After Hatching Year","Unknown"
"B17033377197","3/26/19","Yellow-bellied Flycatcher","Second Year","Unknown"
"B18253131023","3/13/87","White-eyed Vireo","After Hatching Year","Unknown"
"B18253131188","3/13/87","Least Flycatcher","After Hatching Year","Unknown"
"B18253131423","1/16/87","White-eyed Vireo","After Hatching Year","Unknown"
"B18253131661","3/22/87","White-eyed Vireo","After Hatching Year","Unknown"
"B18253131801","3/14/87","White-eyed Vireo","After Hatching Year","Unknown"
"B18253132152","11/10/86","Acadian Flycatcher","Unknown","Unknown"
"B18253132522","11/3/86","Northern Rough-winged Swallow","Unknown","Unknown"
"B18253139193","2/20/87","White-eyed Vireo","After Hatching Year","Unknown"
"B18253139242","2/15/87","White-eyed Vireo","After Hatching Year","Unknown"
"B18254106922","9/14/05","Red-eyed Vireo","After Hatching Year","Unknown"
"B18254111328","10/12/05","Red-eyed Vireo","Hatching Year","Unknown"
"B18254111332","10/12/05","Red-eyed Vireo","Hatching Year","Unknown"
"B18254111962","10/28/05","Red-eyed Vireo","After Hatching Year","Unknown"
"B18254112378","10/3/05","Red-eyed Vireo","After Hatching Year","Unknown"
"B18254112684","10/10/05","Yellow-throated Vireo","After Hatching Year","Unknown"
"B18254113321","9/19/05","Red-eyed Vireo","Hatching Year","Unknown"
"B18254118441","3/26/06","Blue-headed Vireo","Second Year","Unknown"
"B18254118458","3/24/06","Blue-headed Vireo","After Second Year","Unknown"
"B18254118528","3/11/06","Blue-headed Vireo","After Second Year","Unknown"
"B18254119728","11/11/05","Yellow-throated Vireo","After Hatching Year","Unknown"
"B18254603116","2/3/05","Black-whiskered Vireo","After Hatching Year","Unknown"
"B19013294743","11/2/83","White-eyed Vireo","Unknown","Unknown"
"B19013294909","10/6/83","Yellow-throated Vireo","Unknown","Unknown"
"B19013327117","2/19/79","Thick-billed Vireo","After Hatching Year","Unknown"
"B19013327701","3/29/79","Thick-billed Vireo","After Hatching Year","Unknown"
"B19013327783","3/29/79","Thick-billed Vireo","After Hatching Year","Unknown"
"B19013547114","11/23/80","Thick-billed Vireo","Hatching Year","Unknown"
"B19013547140","11/17/80","Thick-billed Vireo","Hatching Year","Unknown"
"B19013547221","4/30/80","Black-whiskered Vireo","After Hatching Year","Unknown"
"B19013547303","2/24/80","Thick-billed Vireo","After Hatching Year","Unknown"
"B19013547629","4/22/84","Black-whiskered Vireo","After Hatching Year","Unknown"
"B19013547700","4/11/84","Black-whiskered Vireo","After Hatching Year","Unknown"
"B19013547781","4/11/84","Black-whiskered Vireo","After Hatching Year","Unknown"
"B19013850029","11/5/86","Yellow-bellied Flycatcher","Unknown","Unknown"
"B19013850263","11/2/86","Traill's Flycatcher","Unknown","Unknown"
"B19013850425","10/9/84","Red-eyed Vireo","Unknown","Unknown"
"B19013850985","11/7/86","Yellow-bellied Flycatcher","Unknown","Unknown"
"B19013851545","10/20/83","Red-eyed Vireo","Unknown","Unknown"
"B19014142604","2/18/89","La Sagra's Flycatcher","After Hatching Year","Unknown"
"B18263327112","3/13/89","White-eyed Vireo","After Hatching Year","Unknown"
"B18263910138","1/21/92","White-eyed Vireo","After Hatching Year","Unknown"
"B18263910698","1/21/92","Northern Rough-winged Swallow","After Hatching Year","Unknown"
"B18263910772","1/21/92","Northern Rough-winged Swallow","After Hatching Year","Unknown"
"B18263911262","2/20/91","Yellow-bellied Flycatcher","After Hatching Year","Unknown"
"B18263911661","1/19/92","White-eyed Vireo","After Hatching Year","Unknown"
"B18263911731","3/3/91","White-eyed Vireo","After Hatching Year","Unknown"
"B18263911748","3/3/91","Least Flycatcher","After Hatching Year","Unknown"
"B18263911818","3/3/91","White-eyed Vireo","After Hatching Year","Unknown"
"B18263911822","3/3/91","White-eyed Vireo","After Hatching Year","Unknown"
"B18263911892","3/3/91","White-eyed Vireo","After Hatching Year","Unknown"
"B18263911983","2/24/91","Greenish Elaenia","After Hatching Year","Unknown"
"B18263914216","1/23/89","White-eyed Vireo","After Hatching Year","Unknown"
"B18263914853","1/14/90","White-eyed Vireo","After Hatching Year","Unknown"
"B18263915196","1/17/90","White-eyed Vireo","After Hatching Year","Unknown"
"B18263919116","1/22/92","Northern Rough-winged Swallow","After Hatching Year","Unknown"
"B18263919172","1/22/92","Northern Rough-winged Swallow","After Hatching Year","Unknown"
"B18263919193","1/22/92","Northern Rough-winged Swallow","After Hatching Year","Unknown"
"B18263919491","1/21/92","Vermilion Flycatcher","After Hatching Year","Male"
"B18263919732","2/8/92","Yellow-bellied Flycatcher","After Hatching Year","Unknown"
"B18263967118","2/3/91","Least Flycatcher","After Hatching Year","Unknown"
"B18263967192","2/3/91","White-eyed Vireo","After Hatching Year","Unknown"
"B18264183193","3/24/10","Rose-throated Becard","After Hatching Year","Female"
"B18264184048","3/6/08","Dusky-capped Flycatcher","After Hatching Year","Unknown"
"B18264184766","3/21/09","Great Crested Flycatcher","After Hatching Year","Unknown"
"B18264185008","12/7/04","Great Crested Flycatcher","After Hatching Year","Unknown"
"B18264185116","3/20/04","Sulphur-bellied Flycatcher","After Second Year","Female"
"B18264185194","3/20/04","Rose-throated Becard","After Second Year","Female"
"B18264185242","1/27/04","Dusky-capped Flycatcher","Second Year","Unknown"
"B18264185481","12/16/03","Dusky-capped Flycatcher","Hatching Year","Unknown"
"B18264459114","2/4/06","Ash-throated Flycatcher","Second Year","Unknown"
"B18264459195","3/16/06","Ash-throated Flycatcher","Second Year","Unknown"
"B18264471027","2/2/02","Stolid Flycatcher","Unknown","Unknown"
"B18264471262","2/1/02","Stolid Flycatcher","Unknown","Unknown"
"B18264471661","2/23/07","Stolid Flycatcher","Unknown","Unknown"
"B18264471906","2/3/02","Stolid Flycatcher","Unknown","Unknown"
"B18264477117","1/21/06","Stolid Flycatcher","Unknown","Unknown"
"B18264711096","4/23/07","Great Crested Flycatcher","Second Year","Unknown"
"B17113322171","11/2/17","Eastern Wood-Pewee","After Hatching Year","Unknown"
"B17113322413","10/27/17","White-eyed Vireo","Hatching Year","Unknown"
"B17113322811","12/11/17","White-eyed Vireo","Hatching Year","Unknown"
"B17113322811","1/28/18","White-eyed Vireo","After Hatching Year","Unknown"
"B17113322823","12/11/17","White-eyed Vireo","After Hatching Year","Unknown"
"B17113322823","3/30/18","White-eyed Vireo","After Hatching Year","Unknown"
"B18273030158","5/29/87","Caribbean Elaenia","After Hatching Year","Unknown"
"B18273037113","1/24/87","Caribbean Elaenia","After Hatching Year","Unknown"
"B18273037190","1/24/87","Black-whiskered Vireo","After Hatching Year","Unknown"
"B18273038157","10/25/87","Caribbean Elaenia","After Hatching Year","Unknown"
"B18273221022","2/27/06","Yellow-bellied Flycatcher","After Hatching Year","Unknown"
"B18273221192","2/21/06","Yellow-bellied Flycatcher","After Hatching Year","Unknown"
"B18274960154","6/22/00","Loggerhead Shrike","Hatching Year","Unknown"
"B18274961742","7/24/02","Cassin's Kingbird","After Second Year","Male"
"B18274961904","5/21/02","Western Kingbird","After Second Year","Male"
"B18283641828","1/25/89","Least Flycatcher","After Hatching Year","Unknown"
"B18283641903","1/23/89","White-eyed Vireo","After Hatching Year","Unknown"
"B18283644156","1/14/91","Greenish Elaenia","After Hatching Year","Unknown"
"B18283813258","9/26/86","Yellow-throated Vireo","Unknown","Unknown"
