"band","event_date","species_name","band_type_description","bird_status_description","age_description","sex_description"
"B29323366743","8/27/72","White-eyed Vireo","aluminum\butt end","Transported.","After Hatching Year","Female"
"B37433918989","1/16/09","Barn Swallow","aluminum\butt-end toll free","Normal wild bird.","Second Year","Female"
"B37434867356","1/18/17","Loggerhead Shrike","aluminum\butt-end (toll-free /web address)","Normal wild bird.","Second Year","Male"
"B37434867463","12/30/16","Loggerhead Shrike","aluminum\butt-end (toll-free /web address)","Normal wild bird.","After Hatching Year","Female"
"B37443894514","10/3/08","Yellow-bellied Flycatcher","aluminum\butt-end toll free","Normal wild bird.","Hatching Year","Female"
"B37463640394","4/3/11","Northern Rough-winged Swallow","aluminum\butt-end (toll-free /web address)","Normal wild bird.","After Hatching Year","Male"
"B37463640510","4/1/11","Northern Rough-winged Swallow","aluminum\butt-end (toll-free /web address)","Normal wild bird.","After Hatching Year","Male"
"B37463640833","4/8/11","Northern Rough-winged Swallow","aluminum\butt-end (toll-free /web address)","Normal wild bird.","After Hatching Year","Female"
"B37463641157","3/15/11","Northern Rough-winged Swallow","aluminum\butt-end (toll-free /web address)","Normal wild bird.","After Hatching Year","Male"
"B37463641234","3/14/11","Northern Rough-winged Swallow","aluminum\butt-end (toll-free /web address)","Normal wild bird.","After Hatching Year","Female"
"B37463641316","3/13/11","Northern Rough-winged Swallow","aluminum\butt-end (toll-free /web address)","Normal wild bird.","After Hatching Year","Female"
"B37463642513","1/5/11","Vermilion Flycatcher","aluminum\butt-end (toll-free /web address)","Normal wild bird.","Second Year","Female"
"B37463644753","4/24/11","Vermilion Flycatcher","aluminum\butt-end (toll-free /web address)","Normal wild bird.","Second Year","Female"
"B37464212314","4/1/18","Red-eyed Vireo","aluminum\butt-end (toll-free /web address)","Normal wild bird.","Second Year","Female"
"B38263653238","3/31/87","Vermilion Flycatcher","aluminum\butt end","Normal wild bird.","After Hatching Year","Male"
"B38263900198","2/24/94","Greenish Elaenia","aluminum\butt end","Normal wild bird.","After Hatching Year","Male"
"B38263910996","1/21/92","Vermilion Flycatcher","aluminum\butt end","Normal wild bird.","After Hatching Year","Male"
"B38263966436","1/18/91","Greenish Elaenia","aluminum\butt end","Normal wild bird.","After Hatching Year","Male"
"B38264493503","12/15/02","Rose-throated Becard","aluminum\butt-end toll free","Normal wild bird.","After Hatching Year","Female"
"B38273030512","5/27/87","Lesser Antillean Pewee","aluminum\butt end","Normal wild bird.","After Hatching Year","Female"
"B38273030770","6/24/90","Caribbean Elaenia","aluminum\butt end","Normal wild bird.","After Hatching Year","Female"
"B38273038310","10/4/87","Lesser Antillean Pewee","aluminum\butt end","Normal wild bird.","After Hatching Year","Female"
"B38273039570","3/12/88","Caribbean Elaenia","aluminum\butt end","Normal wild bird.","After Hatching Year","Male"
"B38273039710","4/10/88","Caribbean Elaenia","aluminum\butt end","Normal wild bird.","After Hatching Year","Male"
"B38273039793","4/10/88","Caribbean Elaenia","aluminum\butt end","Normal wild bird.","After Hatching Year","Male"
"B38273934138","10/18/91","Barn Swallow","aluminum\butt end","Normal wild bird.","After Hatching Year","Female"
"B38273934352","9/11/90","Barn Swallow","aluminum\butt end","Normal wild bird.","Second Year","Female"
"B38273934393","9/16/91","Barn Swallow","aluminum\butt end","Normal wild bird.","After Hatching Year","Female"
"B38283583663","5/4/02","White-eyed Vireo","aluminum\butt end","Normal wild bird.","After Hatching Year","Male"
"B38283647796","2/12/89","Least Flycatcher","aluminum\butt end","Normal wild bird.","After Hatching Year","Male"
"B38283857552","3/17/86","Vermilion Flycatcher","aluminum\butt end","Normal wild bird.","After Hatching Year","Male"
"B38283857957","4/13/86","Yellow-green Vireo","aluminum\butt end","Normal wild bird.","After Hatching Year","Male"
"B38293993393","5/23/87","Lesser Antillean Pewee","aluminum\butt end","Normal wild bird.","After Hatching Year","Female"
"B38293993639","6/27/87","Lesser Antillean Pewee","aluminum\butt end","Normal wild bird.","After Hatching Year","Female"
"B38293994833","5/9/87","Caribbean Elaenia","aluminum\butt end","Normal wild bird.","After Hatching Year","Female"
"B38293994919","5/9/87","Caribbean Elaenia","aluminum\butt end","Normal wild bird.","After Hatching Year","Female"
"B38293994999","5/9/87","Caribbean Elaenia","aluminum\butt end","Normal wild bird.","After Hatching Year","Female"
"B37514682314","3/5/11","Couch's Kingbird","aluminum\butt-end (toll-free /web address)","Normal wild bird.","After Hatching Year","Male"
"B29364530236","2/20/79","Scissor-tailed Flycatcher","aluminum\butt end","Normal wild bird.","After Hatching Year","Female"
"B29364538235","2/1/79","Scissor-tailed Flycatcher","aluminum\butt end","Normal wild bird.","After Hatching Year","Female"
"B29364539274","2/27/79","Scissor-tailed Flycatcher","aluminum\butt end","Normal wild bird.","After Hatching Year","Female"
"B29373626933","9/5/74","Fork-tailed Flycatcher","aluminum\butt end","Normal wild bird.","After Hatching Year","Male"
"B38323365153","2/3/83","Least Flycatcher","aluminum\butt end","Normal wild bird.","After Hatching Year","Female"
"B37553486838","8/20/11","Vermilion Flycatcher","aluminum\butt-end toll free","Normal wild bird.","Hatching Year","Female"
"B37553861235","11/3/09","Acadian Flycatcher","aluminum\butt-end toll free","Normal wild bird.","After Hatching Year","Male"
"B37563282432","9/26/07","Black-capped Vireo","aluminum\butt-end toll free","Normal wild bird.","After Hatching Year","Female"
"B37573898279","3/10/07","Vermilion Flycatcher","aluminum\butt-end toll free","Normal wild bird.","After Second Year","Male"
"B37583013181","5/5/07","Unidentified Empidonax","aluminum\butt-end toll free","Normal wild bird.","After Hatching Year","Female"
"B38334018013","5/22/06","Traill's Flycatcher","aluminum\butt-end toll free","Normal wild bird.","Second Year","Male"
"B38334676337","12/13/09","Black-capped Vireo","aluminum\butt-end toll free","Normal wild bird.","After Hatching Year","Male"
"B37613240030","4/6/04","Cassin's Vireo","aluminum\butt-end toll free","Normal wild bird.","After Second Year","Female"
"B37613240353","3/12/04","Northern Rough-winged Swallow","aluminum\butt-end toll free","Normal wild bird.","After Hatching Year","Male"
"B37613241797","5/8/04","Western Flycatcher","aluminum\butt-end toll free","Normal wild bird.","After Second Year","Female"
"B37613350673","5/19/03","Northern Rough-winged Swallow","aluminum\butt-end toll free","Normal wild bird.","After Second Year","Female"
"B37613938133","2/24/06","Violet-green Swallow","aluminum\butt-end toll free","Normal wild bird.","After Second Year","Female"
"B37613948354","3/20/05","White-eyed Vireo","aluminum\butt-end toll free","Normal wild bird.","After Second Year","Male"
"B38343718038","1/12/90","Traill's Flycatcher","aluminum\butt end","Normal wild bird.","After Hatching Year","Female"
"B37634211942","5/7/11","Brown-crested Flycatcher","aluminum\butt-end toll free","Normal wild bird.","After Second Year","Female"
"B37634632662","8/22/10","Tropical Kingbird","aluminum\butt-end toll free","Normal wild bird.","After Hatching Year","Male"
"B38353439653","3/10/93","Least Flycatcher","aluminum\butt end","Normal wild bird.","After Hatching Year","Female"
"B38353755457","1/13/90","White-eyed Vireo","aluminum\butt end","Normal wild bird.","After Hatching Year","Male"
"B38363482993","9/28/84","Vermilion Flycatcher","aluminum\butt end","Normal wild bird.","Hatching Year","Male"
"B38394737817","5/10/01","Scissor-tailed Flycatcher","aluminum\butt-end toll free","Normal wild bird.","After Hatching Year","Female"
"B39314955355","6/2/63","Cassin's Kingbird","aluminum\butt end","Normal wild bird.","After Hatching Year","Male"
"B38434473544","1/26/89","Loggerhead Kingbird","aluminum\butt end","Normal wild bird.","After Hatching Year","Male"
"B38434473623","10/24/92","Loggerhead Kingbird","aluminum\butt end","Normal wild bird.","After Hatching Year","Female"
"B38964838378","9/26/01","Purple Martin","aluminum\butt end","Normal wild bird.","Hatching Year","Male"
"B38453426195","9/18/85","Traill's Flycatcher","aluminum\butt-end new address","Normal wild bird.","After Hatching Year","Male"
"B38453426318","9/14/85","Traill's Flycatcher","aluminum\butt-end new address","Normal wild bird.","After Hatching Year","Male"
"B38453426598","9/7/85","Traill's Flycatcher","aluminum\butt-end new address","Normal wild bird.","After Hatching Year","Male"
"B38453426674","9/20/85","Barn Swallow","aluminum\butt-end new address","Normal wild bird.","After Hatching Year","Female"
"B38453426914","9/19/85","Eastern Wood-Pewee","aluminum\butt-end new address","Normal wild bird.","After Hatching Year","Male"
"B38453428198","10/25/84","Western Wood-Pewee","aluminum\butt-end new address","Normal wild bird.","Hatching Year","Male"
"B38453429154","10/9/84","Least Flycatcher","aluminum\butt-end new address","Normal wild bird.","Hatching Year","Male"
"B38453429319","10/7/84","Barn Swallow","aluminum\butt-end new address","Normal wild bird.","After Hatching Year","Female"
"B38473972837","4/18/81","Barn Swallow","aluminum\butt-end new address","Normal wild bird.","After Hatching Year","Female"
"B38473974034","4/11/80","Barn Swallow","aluminum\butt-end new address","Normal wild bird.","After Second Year","Male"
"B38473974194","4/11/80","Barn Swallow","aluminum\butt-end new address","Normal wild bird.","After Second Year","Male"
"B38473974277","4/11/80","Barn Swallow","aluminum\butt-end new address","Normal wild bird.","After Second Year","Male"
"B38473974314","4/11/80","Northern Rough-winged Swallow","aluminum\butt-end new address","Normal wild bird.","After Hatching Year","Female"
"B38473974398","4/11/80","Northern Rough-winged Swallow","aluminum\butt-end new address","Normal wild bird.","After Hatching Year","Female"
"B38473974913","4/11/80","Northern Rough-winged Swallow","aluminum\butt-end new address","Normal wild bird.","After Hatching Year","Male"
"B38473974999","4/11/80","Northern Rough-winged Swallow","aluminum\butt-end new address","Normal wild bird.","After Hatching Year","Female"
"B38474365004","8/18/00","La Sagra's Flycatcher","aluminum\butt-end new address","Normal wild bird.","After Hatching Year","Male"
"B38474377563","6/4/99","La Sagra's Flycatcher","aluminum\butt-end new address","Normal wild bird.","After Hatching Year","Female"
"B38474378527","1/10/99","La Sagra's Flycatcher","aluminum\butt-end new address","Normal wild bird.","After Hatching Year","Female"
"B38483534934","4/15/83","Vermilion Flycatcher","aluminum\butt-end new address","Normal wild bird.","After Hatching Year","Male"
"B38993449718","7/2/65","Red-eyed Vireo","aluminum\butt end","Normal wild bird.","After Hatching Year","Male"
"B38494463424","5/29/00","Gray Kingbird","aluminum\butt-end new address","Normal wild bird.","After Second Year","Female"
"B38494663344","1/26/99","Gray Kingbird","aluminum\butt-end new address","Normal wild bird.","After Hatching Year","Male"
"B38494663356","1/26/99","Gray Kingbird","aluminum\butt-end new address","Normal wild bird.","After Hatching Year","Female"
"B39334640023","3/29/62","Sulphur-bellied Flycatcher","aluminum\butt end","Normal wild bird.","Unknown","Female"
"B39013690033","4/12/94","Black-capped Vireo","aluminum\butt end","Normal wild bird.","Second Year","Female"
"B38524494392","2/1/94","Loggerhead Kingbird","aluminum\butt end","Normal wild bird.","After Hatching Year","Female"
"B38554374315","6/22/00","Cassin's Kingbird","aluminum\butt end","Normal wild bird.","After Second Year","Female"
"B38554374525","5/14/00","Ash-throated Flycatcher","aluminum\butt end","Normal wild bird.","After Hatching Year","Female"
"B39343382523","3/4/60","Red-eyed Vireo","aluminum\butt end","Normal wild bird.","Unknown","Male"
"B39343383533","2/14/60","Red-eyed Vireo","aluminum\butt end","Normal wild bird.","Unknown","Male"
"B39031999549","1/12/97","Great Kiskadee","aluminum\butt end","Normal wild bird.","After Second Year","Male"
"B38613962196","1/6/74","Yellow-bellied Flycatcher","aluminum\butt end","Normal wild bird.","After Hatching Year","Female"
"B38623850115","1/29/75","Yellow-bellied Flycatcher","aluminum\butt end","Normal wild bird.","After Hatching Year","Female"
"B38623851353","12/18/74","Least Flycatcher","aluminum\butt end","Normal wild bird.","Unknown","Female"
"B38623851633","1/11/75","White-eyed Vireo","aluminum\butt end","Normal wild bird.","After Hatching Year","Female"
"B39364530013","2/21/79","Scissor-tailed Flycatcher","aluminum\butt end","Normal wild bird.","After Hatching Year","Female"
"B39364530053","2/20/79","Scissor-tailed Flycatcher","aluminum\butt end","Normal wild bird.","After Hatching Year","Male"
"B39364530130","2/20/79","Scissor-tailed Flycatcher","aluminum\butt end","Normal wild bird.","After Hatching Year","Female"
"B39364530174","2/21/79","Scissor-tailed Flycatcher","aluminum\butt end","Normal wild bird.","After Hatching Year","Female"
"B39364530219","2/20/79","Scissor-tailed Flycatcher","aluminum\butt end","Normal wild bird.","After Hatching Year","Male"
"B39364530293","2/20/79","Scissor-tailed Flycatcher","aluminum\butt end","Normal wild bird.","After Hatching Year","Male"
"B39364530333","2/16/79","Scissor-tailed Flycatcher","aluminum\butt end","Normal wild bird.","After Hatching Year","Male"
"B39364530535","2/15/79","Scissor-tailed Flycatcher","aluminum\butt end","Normal wild bird.","After Hatching Year","Male"
"B39364530573","2/16/79","Scissor-tailed Flycatcher","aluminum\butt end","Normal wild bird.","After Hatching Year","Male"
"B39364530613","2/27/79","Scissor-tailed Flycatcher","aluminum\butt end","Normal wild bird.","After Hatching Year","Female"
"B39364530690","2/27/79","Scissor-tailed Flycatcher","aluminum\butt end","Normal wild bird.","After Hatching Year","Male"
"B39364530734","2/23/79","Scissor-tailed Flycatcher","aluminum\butt end","Normal wild bird.","After Hatching Year","Male"
"B39364530815","2/22/79","Scissor-tailed Flycatcher","aluminum\butt end","Normal wild bird.","After Hatching Year","Male"
"B39364530853","2/22/79","Scissor-tailed Flycatcher","aluminum\butt end","Normal wild bird.","After Hatching Year","Female"
"B39364530936","2/22/79","Scissor-tailed Flycatcher","aluminum\butt end","Normal wild bird.","After Hatching Year","Female"
"B39364530970","2/22/79","Scissor-tailed Flycatcher","aluminum\butt end","Normal wild bird.","After Hatching Year","Male"
"B39364531059","2/6/79","Scissor-tailed Flycatcher","aluminum\butt end","Normal wild bird.","After Hatching Year","Male"
"B39364531095","2/6/79","Scissor-tailed Flycatcher","aluminum\butt end","Normal wild bird.","After Hatching Year","Female"
"B39364531133","2/6/79","Scissor-tailed Flycatcher","aluminum\butt end","Normal wild bird.","After Hatching Year","Male"
"B39364531173","2/6/79","Scissor-tailed Flycatcher","aluminum\butt end","Normal wild bird.","After Hatching Year","Female"
"B39364531216","2/5/79","Scissor-tailed Flycatcher","aluminum\butt end","Normal wild bird.","After Hatching Year","Male"
"B39364531294","2/5/79","Scissor-tailed Flycatcher","aluminum\butt end","Normal wild bird.","After Hatching Year","Female"
"B39364531339","2/5/79","Scissor-tailed Flycatcher","aluminum\butt end","Normal wild bird.","After Hatching Year","Female"
"B39364531356","2/5/79","Scissor-tailed Flycatcher","aluminum\butt end","Normal wild bird.","After Hatching Year","Male"
"B39364531453","1/30/79","Scissor-tailed Flycatcher","aluminum\butt end","Normal wild bird.","After Hatching Year","Male"
"B39364531619","2/15/79","Scissor-tailed Flycatcher","aluminum\butt end","Normal wild bird.","After Hatching Year","Male"
"B39364531733","2/6/79","Scissor-tailed Flycatcher","aluminum\butt end","Normal wild bird.","After Hatching Year","Male"
"B39364531935","2/6/79","Scissor-tailed Flycatcher","aluminum\butt end","Normal wild bird.","After Hatching Year","Male"
"B39364531973","2/6/79","Scissor-tailed Flycatcher","aluminum\butt end","Normal wild bird.","After Hatching Year","Male"
"B39364538014","3/5/79","Scissor-tailed Flycatcher","aluminum\butt end","Normal wild bird.","After Hatching Year","Female"
"B39364538059","3/1/79","Scissor-tailed Flycatcher","aluminum\butt end","Normal wild bird.","After Hatching Year","Male"
"B39364538095","3/5/79","Scissor-tailed Flycatcher","aluminum\butt end","Normal wild bird.","After Hatching Year","Male"
"B39364538133","2/1/79","Scissor-tailed Flycatcher","aluminum\butt end","Normal wild bird.","After Hatching Year","Female"
"B39364538216","2/1/79","Scissor-tailed Flycatcher","aluminum\butt end","Normal wild bird.","After Hatching Year","Female"
"B39364538258","2/1/79","Scissor-tailed Flycatcher","aluminum\butt end","Normal wild bird.","After Hatching Year","Female"
"B39364538294","2/1/79","Scissor-tailed Flycatcher","aluminum\butt end","Normal wild bird.","After Hatching Year","Female"
"B39364538313","2/1/79","Scissor-tailed Flycatcher","aluminum\butt end","Normal wild bird.","After Hatching Year","Female"
"B39364538339","2/1/79","Scissor-tailed Flycatcher","aluminum\butt end","Normal wild bird.","After Hatching Year","Female"
"B39364538375","2/1/79","Scissor-tailed Flycatcher","aluminum\butt end","Normal wild bird.","After Hatching Year","Female"
"B39364538398","2/1/79","Scissor-tailed Flycatcher","aluminum\butt end","Normal wild bird.","After Hatching Year","Male"
"B39364538413","2/1/79","Scissor-tailed Flycatcher","aluminum\butt end","Normal wild bird.","After Hatching Year","Female"
"B39364538453","2/1/79","Scissor-tailed Flycatcher","aluminum\butt end","Normal wild bird.","After Hatching Year","Male"
"B39364538496","2/1/79","Scissor-tailed Flycatcher","aluminum\butt end","Normal wild bird.","After Hatching Year","Female"
"B39364538538","2/1/79","Scissor-tailed Flycatcher","aluminum\butt end","Normal wild bird.","After Hatching Year","Female"
"B39364538574","2/1/79","Scissor-tailed Flycatcher","aluminum\butt end","Normal wild bird.","After Hatching Year","Male"
"B39364538655","3/5/79","Scissor-tailed Flycatcher","aluminum\butt end","Normal wild bird.","After Hatching Year","Male"
"B39364538693","3/5/79","Scissor-tailed Flycatcher","aluminum\butt end","Normal wild bird.","After Hatching Year","Female"
"B39364538733","3/5/79","Scissor-tailed Flycatcher","aluminum\butt end","Normal wild bird.","After Hatching Year","Female"
"B39364538776","3/5/79","Scissor-tailed Flycatcher","aluminum\butt end","Normal wild bird.","After Hatching Year","Male"
"B39364538818","3/5/79","Scissor-tailed Flycatcher","aluminum\butt end","Normal wild bird.","After Hatching Year","Female"
"B39364538854","3/5/79","Scissor-tailed Flycatcher","aluminum\butt end","Normal wild bird.","After Hatching Year","Female"
"B39364538973","3/5/79","Scissor-tailed Flycatcher","aluminum\butt end","Normal wild bird.","After Hatching Year","Female"
"B39364539013","2/28/79","Scissor-tailed Flycatcher","aluminum\butt end","Normal wild bird.","After Hatching Year","Male"
"B39364539056","2/28/79","Scissor-tailed Flycatcher","aluminum\butt end","Normal wild bird.","After Hatching Year","Male"
"B39364539099","2/28/79","Scissor-tailed Flycatcher","aluminum\butt end","Normal wild bird.","After Hatching Year","Female"
"B39364539134","2/28/79","Scissor-tailed Flycatcher","aluminum\butt end","Normal wild bird.","After Hatching Year","Female"
"B39364539179","2/28/79","Scissor-tailed Flycatcher","aluminum\butt end","Normal wild bird.","After Hatching Year","Female"
"B39364539253","2/27/79","Scissor-tailed Flycatcher","aluminum\butt end","Normal wild bird.","After Hatching Year","Male"
"B39364539293","2/27/79","Scissor-tailed Flycatcher","aluminum\butt end","Normal wild bird.","After Hatching Year","Male"
"B39364539379","2/27/79","Scissor-tailed Flycatcher","aluminum\butt end","Normal wild bird.","After Hatching Year","Female"
"B39364539495","2/27/79","Scissor-tailed Flycatcher","aluminum\butt end","Normal wild bird.","After Hatching Year","Male"
"B39364539573","2/27/79","Scissor-tailed Flycatcher","aluminum\butt end","Normal wild bird.","After Hatching Year","Male"
"B39364539616","3/1/79","Scissor-tailed Flycatcher","aluminum\butt end","Normal wild bird.","After Hatching Year","Male"
"B39364539775","3/1/79","Scissor-tailed Flycatcher","aluminum\butt end","Normal wild bird.","After Hatching Year","Male"
"B39364539813","2/28/79","Scissor-tailed Flycatcher","aluminum\butt end","Normal wild bird.","After Hatching Year","Male"
"B39364539853","2/28/79","Scissor-tailed Flycatcher","aluminum\butt end","Normal wild bird.","After Hatching Year","Male"
"B39364539896","3/1/79","Scissor-tailed Flycatcher","aluminum\butt end","Normal wild bird.","After Hatching Year","Female"
"B39364539939","2/28/79","Scissor-tailed Flycatcher","aluminum\butt end","Normal wild bird.","After Hatching Year","Male"
"B38704837658","1/22/79","Scissor-tailed Flycatcher","aluminum\butt end","Normal wild bird.","After Second Year","Female"
"B38704837733","1/22/79","Scissor-tailed Flycatcher","aluminum\butt end","Normal wild bird.","After Second Year","Female"
"B38704837817","1/22/79","Scissor-tailed Flycatcher","aluminum\butt end","Normal wild bird.","After Second Year","Female"
"B39124588398","2/17/75","Scissor-tailed Flycatcher","aluminum\butt end","Normal wild bird.","After Second Year","Female"
"B39383475054","6/15/65","Red-eyed Vireo","aluminum\butt end","Normal wild bird.","After Hatching Year","Female"
"B39383475373","6/14/65","Red-eyed Vireo","aluminum\butt end","Normal wild bird.","After Hatching Year","Male"
"B38731702988","6/4/09","Great Kiskadee","aluminum\butt-end toll free","Normal wild bird.","After Second Year","Female"
"B39134898828","9/25/85","Sulphur-bellied Flycatcher","aluminum\pre-open","Normal wild bird.","After Hatching Year","Female"
"B39134898988","9/22/85","Eastern Kingbird","aluminum\pre-open","Normal wild bird.","After Hatching Year","Male"
"B39394074397","1/24/89","Loggerhead Kingbird","aluminum\butt end","Normal wild bird.","After Hatching Year","Female"
"B39164834134","3/21/79","Scissor-tailed Flycatcher","aluminum\butt-end new address","Normal wild bird.","After Hatching Year","Male"
"B39164834219","3/21/79","Scissor-tailed Flycatcher","aluminum\butt-end new address","Normal wild bird.","After Hatching Year","Male"
"B39164834291","3/21/79","Scissor-tailed Flycatcher","aluminum\butt-end new address","Normal wild bird.","After Hatching Year","Male"
"B39164834314","3/21/79","Scissor-tailed Flycatcher","aluminum\butt-end new address","Normal wild bird.","After Hatching Year","Female"
"B39164834376","3/21/79","Scissor-tailed Flycatcher","aluminum\butt-end new address","Normal wild bird.","After Hatching Year","Male"
"B39164834398","3/21/79","Scissor-tailed Flycatcher","aluminum\butt-end new address","Normal wild bird.","After Hatching Year","Female"
"B39164834538","3/20/79","Scissor-tailed Flycatcher","aluminum\butt-end new address","Normal wild bird.","After Hatching Year","Female"
"B39164834613","3/26/79","Scissor-tailed Flycatcher","aluminum\butt-end new address","Normal wild bird.","After Hatching Year","Male"
"B39164834694","3/26/79","Scissor-tailed Flycatcher","aluminum\butt-end new address","Normal wild bird.","After Hatching Year","Male"
"B39164834779","3/26/79","Scissor-tailed Flycatcher","aluminum\butt-end new address","Normal wild bird.","After Hatching Year","Male"
"B39164834936","3/22/79","Scissor-tailed Flycatcher","aluminum\butt-end new address","Normal wild bird.","After Hatching Year","Male"
"B39164835098","3/19/79","Scissor-tailed Flycatcher","aluminum\butt-end new address","Normal wild bird.","After Hatching Year","Female"
"B39164835255","3/15/79","Scissor-tailed Flycatcher","aluminum\butt-end new address","Normal wild bird.","After Hatching Year","Male"
"B39164835339","3/15/79","Scissor-tailed Flycatcher","aluminum\butt-end new address","Normal wild bird.","After Hatching Year","Female"
"B39164835356","3/15/79","Scissor-tailed Flycatcher","aluminum\butt-end new address","Normal wild bird.","After Hatching Year","Female"
"B39164835411","3/15/79","Scissor-tailed Flycatcher","aluminum\butt-end new address","Normal wild bird.","After Hatching Year","Female"
"B39164835496","3/15/79","Scissor-tailed Flycatcher","aluminum\butt-end new address","Normal wild bird.","After Hatching Year","Female"
"B39164835733","3/19/79","Scissor-tailed Flycatcher","aluminum\butt-end new address","Normal wild bird.","After Hatching Year","Female"
"B39164835815","3/19/79","Scissor-tailed Flycatcher","aluminum\butt-end new address","Normal wild bird.","After Hatching Year","Male"
"B39164835899","3/19/79","Scissor-tailed Flycatcher","aluminum\butt-end new address","Normal wild bird.","After Hatching Year","Male"
"B39164835971","3/19/79","Scissor-tailed Flycatcher","aluminum\butt-end new address","Normal wild bird.","After Hatching Year","Female"
"B39173075157","6/12/05","Yellow-green Vireo","aluminum\butt end","Normal wild bird.","After Hatching Year","Male"
"B39173075391","4/10/05","Yellow-green Vireo","aluminum\butt end","Normal wild bird.","After Hatching Year","Female"
"B39173175071","6/4/07","Yellow-green Vireo","aluminum\butt end","Normal wild bird.","After Second Year","Female"
"B39173175957","6/6/07","Yellow-green Vireo","aluminum\butt end","Normal wild bird.","After Second Year","Female"
"B39173368201","7/10/74","Cliff Swallow","aluminum\butt end","Normal wild bird.","After Hatching Year","Female"
"B39173368398","7/10/74","Cliff Swallow","aluminum\butt end","Normal wild bird.","After Hatching Year","Female"
"B39173368433","7/10/74","Cliff Swallow","aluminum\butt end","Normal wild bird.","After Hatching Year","Female"
"B39183456516","1/6/86","Sad Flycatcher","aluminum\butt end","Normal wild bird.","After Hatching Year","Female"
"B39464133263","9/9/65","Fork-tailed Flycatcher","aluminum\butt end","Normal wild bird.","After Hatching Year","Male"
"B39464134059","8/26/65","Red-eyed Vireo","aluminum\butt end","Normal wild bird.","After Hatching Year","Female"
"B39464134534","8/26/65","Fork-tailed Flycatcher","aluminum\butt end","Normal wild bird.","After Hatching Year","Female"
"B39193188118","4/14/98","Black-whiskered Vireo","aluminum\butt-end new address","Normal wild bird.","After Hatching Year","Male"
"B39204013180","4/21/70","Loggerhead Kingbird","aluminum\butt end","Normal wild bird.","After Hatching Year","Male"
"B39204630390","5/30/71","Brown-crested Flycatcher","aluminum\butt end","Normal wild bird.","After Hatching Year","Female"
"B39213473353","9/23/66","Red-eyed Vireo","aluminum\butt end","Normal wild bird.","After Hatching Year","Female"
"B39613743473","6/2/60","White-eyed Vireo","aluminum\butt end","Normal wild bird.","After Hatching Year","Female"
"B39613743907","4/19/70","White-eyed Vireo","aluminum\butt end","Normal wild bird.","After Hatching Year","Female"
"B39623553956","6/21/61","Vermilion Flycatcher","aluminum\butt end","Normal wild bird.","After Hatching Year","Male"
"B39624833014","3/28/79","Scissor-tailed Flycatcher","aluminum\butt end","Normal wild bird.","After Hatching Year","Female"
"B39624833098","3/28/79","Scissor-tailed Flycatcher","aluminum\butt end","Normal wild bird.","After Hatching Year","Male"
"B39624833103","3/28/79","Scissor-tailed Flycatcher","aluminum\butt end","Normal wild bird.","After Hatching Year","Female"
"B39624833173","3/28/79","Scissor-tailed Flycatcher","aluminum\butt end","Normal wild bird.","After Hatching Year","Female"
"B39624833183","3/28/79","Scissor-tailed Flycatcher","aluminum\butt end","Normal wild bird.","After Hatching Year","Male"
"B39624833269","3/27/79","Scissor-tailed Flycatcher","aluminum\butt end","Normal wild bird.","After Hatching Year","Male"
"B39624833352","3/27/79","Scissor-tailed Flycatcher","aluminum\butt end","Normal wild bird.","After Hatching Year","Female"
"B39624833416","3/26/79","Scissor-tailed Flycatcher","aluminum\butt end","Normal wild bird.","After Hatching Year","Female"
"B39624833504","3/26/79","Scissor-tailed Flycatcher","aluminum\butt end","Normal wild bird.","After Hatching Year","Female"
"B39624833574","3/26/79","Scissor-tailed Flycatcher","aluminum\butt end","Normal wild bird.","After Hatching Year","Female"
"B39624833588","3/26/79","Scissor-tailed Flycatcher","aluminum\butt end","Normal wild bird.","After Hatching Year","Female"
"B39624833663","3/30/79","Scissor-tailed Flycatcher","aluminum\butt end","Normal wild bird.","After Hatching Year","Male"
"B39624833733","3/28/79","Scissor-tailed Flycatcher","aluminum\butt end","Normal wild bird.","After Hatching Year","Male"
"B39624833743","3/28/79","Scissor-tailed Flycatcher","aluminum\butt end","Normal wild bird.","After Hatching Year","Female"
"B39624833813","3/28/79","Scissor-tailed Flycatcher","aluminum\butt end","Normal wild bird.","After Hatching Year","Female"
"B39624833829","3/28/79","Scissor-tailed Flycatcher","aluminum\butt end","Normal wild bird.","After Hatching Year","Female"
"B39624833899","3/28/79","Scissor-tailed Flycatcher","aluminum\butt end","Normal wild bird.","After Hatching Year","Male"
"B39624833976","3/28/79","Scissor-tailed Flycatcher","aluminum\butt end","Normal wild bird.","After Hatching Year","Female"
"B38833712028","3/28/75","Black-whiskered Vireo","aluminum\butt end","Normal wild bird.","After Hatching Year","Female"
"B38833712038","3/28/75","Black-whiskered Vireo","aluminum\butt end","Normal wild bird.","After Hatching Year","Female"
"B39643445794","2/23/60","Red-eyed Vireo","aluminum\butt end","Normal wild bird.","Unknown","Male"
"B39643445873","2/23/60","Red-eyed Vireo","aluminum\butt end","Normal wild bird.","Unknown","Male"
"B41924380991","3/10/06","Tropical Kingbird","aluminum\butt end","Normal wild bird.","After Second Year","Male"
"B41924381471","3/12/04","Tropical Kingbird","aluminum\butt end","Normal wild bird.","Second Year","Male"
"B41924388118","1/16/08","Tropical Kingbird","aluminum\butt end","Normal wild bird.","After Second Year","Female"
