"rater_id","reference_title","soft_attribute","less_than","about_as","more_than"
83,"Home Alone (1990)","romantic","[Quiz Show (1994),Blade Runner (1982)]","[Toy Story 2 (1999),The Lion King (1994),Monsters, Inc. (2001),Toy Story (1995),Finding Nemo (2003)]","[The Little Mermaid (1989),Spider-Man (2002),Shrek (2001)]"
85,"Home Alone (1990)","bizarre","[Good Will Hunting (1997)]","[Tombstone (1993),Happy Gilmore (1996),Dumb & Dumber (Dumb and Dumber) (1994)]","[Charlie's Angels (2000),The Nightmare Before Christmas (1993),Total Recall (1990),The Mask (1994),Donnie Darko (2001),The Mummy (1999)]"
85,"Home Alone (1990)","heartfelt","[Snatch (2000),Arachnophobia (1990),Interview with the Vampire: The Vampire Chronicles (1994),The Cable Guy (1996)]","[Jumanji (1995),The Incredibles (2004),Grease (1978),Beauty and the Beast (1991),Indiana Jones and the Temple of Doom (1984)]","[Erin Brockovich (2000)]"
88,"Home Alone (1990)","interesting","[Dumb & Dumber (Dumb and Dumber) (1994),Finding Nemo (2003),Mary Poppins (1964)]","[Fish Called Wanda, A (1988),Groundhog Day (1993),2001: A Space Odyssey (1968),Big (1988),Crouching Tiger, Hidden Dragon (Wo hu cang long) (2000)]","[The Silence of the Lambs (1991),The Terminator (1984)]"
88,"Home Alone (1990)","playful","[The Hunt for Red October (1990),Aliens (1986),Terminator 2: Judgment Day (1991),Braveheart (1995),Batman Begins (2005)]","[Star Wars: Episode IV - A New Hope (1977),Harry Potter and the Chamber of Secrets (2002),Edward Scissorhands (1990)]","[Back to the Future Part II (1989),Willy Wonka & the Chocolate Factory (1971)]"
88,"Home Alone (1990)","pointless","[Die Hard: With a Vengeance (1995),Charlie's Angels (2000),Minority Report (2002),Men in Black (a.k.a. MIB) (1997),Pirates of the Caribbean: The Curse of the Black Pearl (2003),Gone with the Wind (1939)]","[Toy Story (1995),Waterworld (1995)]","[Dumb & Dumber (Dumb and Dumber) (1994),Finding Nemo (2003)]"
89,"Home Alone (1990)","juvenile humor","[South Park: Bigger, Longer and Uncut (1999),E.T. the Extra-Terrestrial (1982),Fight Club (1999),Requiem for a Dream (2000),What's Eating Gilbert Grape (1993),Philadelphia (1993),Men in Black (a.k.a. MIB) (1997),Austin Powers: International Man of Mystery (1997),Sense and Sensibility (1995),Scream (1996)]",NULL,NULL
90,"Home Alone (1990)","harsh","[Chicken Run (2000),Toy Story (1995),Dead Poets Society (1989)]","[Mission: Impossible (1996),Men in Black (a.k.a. MIB) (1997),Predator (1987),Twister (1996),Fargo (1996)]","[Braveheart (1995),The Terminator (1984)]"
90,"Home Alone (1990)","serious","[Bug's Life, A (1998),Kill Bill: Vol. 2 (2004)]","[Young Frankenstein (1974),Back to the Future Part II (1989),The Mask (1994)]","[The Green Mile (1999),Die Hard: With a Vengeance (1995),Spider-Man (2002),Lethal Weapon (1987),Willy Wonka & the Chocolate Factory (1971)]"
91,"Home Alone (1990)","confusing",NULL,"[Clueless (1995),Honey, I Shrunk the Kids (1989),Edward Scissorhands (1990),Shrek 2 (2004),Aladdin (1992),Grease (1978)]","[The Lord of the Rings: The Fellowship of the Ring (2001),Titanic (1997),The Sound of Music (1965),Who Framed Roger Rabbit? (1988)]"
91,"Home Alone (1990)","incomprehensible","[Austin Powers: International Man of Mystery (1997),Ace Ventura: When Nature Calls (1995)]","[Shrek (2001),Grease (1978),The Breakfast Club (1985),The Little Mermaid (1989),Beauty and the Beast (1991)]","[Ghost (1990),Catch Me If You Can (2002),Star Wars: Episode I - The Phantom Menace (1999)]"
91,"Home Alone (1990)","predictable","[Requiem for a Dream (2000),Monty Python and the Holy Grail (1975),Catch Me If You Can (2002),E.T. the Extra-Terrestrial (1982),Edward Scissorhands (1990)]","[The Princess Bride (1987),Austin Powers: International Man of Mystery (1997),The Santa Clause (1994)]","[It's a Wonderful Life (1946),Titanic (1997)]"
91,"Home Alone (1990)","tearful","[Catch Me If You Can (2002),Star Wars: Episode V - The Empire Strikes Back (1980),Happy Gilmore (1996),Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981),Monty Python and the Holy Grail (1975),Austin Powers: The Spy Who Shagged Me (1999)]","[Finding Nemo (2003),The Breakfast Club (1985)]","[E.T. the Extra-Terrestrial (1982),It's a Wonderful Life (1946)]"
92,"Home Alone (1990)","juvenile humor","[Pretty Woman (1990),Spider-Man (2002),Eraser (1996),The Sixth Sense (1999),Psycho (1960),Pirates of the Caribbean: The Curse of the Black Pearl (2003)]","[Hot Shots! Part Deux (1993),Beetlejuice (1988)]","[The Nightmare Before Christmas (1993),Twister (1996)]"
100,"Home Alone (1990)","harsh","[Shrek 2 (2004),Monsters, Inc. (2001),Catch Me If You Can (2002)]","[The Mask (1994),Armageddon (1998),The Lost World: Jurassic Park (1997),Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981)]","[Rocky (1976),The Mummy (1999),V for Vendetta (2006)]"
100,"Home Alone (1990)","juvenile humor","[The Lord of the Rings: The Return of the King (2003),V for Vendetta (2006),Jumanji (1995),The Lost World: Jurassic Park (1997),Harry Potter and the Sorcerer's Stone (a.k.a. Harry Potter and the Philosopher's Stone) (2001),Titanic (1997),L.A. Confidential (1997)]","[The Mummy (1999),Willy Wonka & the Chocolate Factory (1971)]","[Indiana Jones and the Temple of Doom (1984)]"
